年 year
壮举 feat
冷笑 sneer
骑楼 veranda
严酷 harsh
送货 delivery
送货 deliveries
船主 shipowners
下陷 subsidence
番红花 saffron
辫子 braid
辫子 braided
辫子 braids
吐司 toast
感恩节 thanksgiving
内疚 guilt
胶带 tape
手肘 elbow
手肘 elbows
民团 vigilante
富江 tomie
滑轮 pulley
登革热 dengue
旗杆 flagpole
旗杆 flagpoles
洗衣机 washer
胎盘 placenta
阴离子 anion
排泄物 faeces
排泄物 excreta
果冻 jelly
内讧 infighting
鞭笞 flogging
自助餐 buffet
联通 connectivity
泥潭 quagmire
面谈 interview
面谈 interviews
油门 throttle
邻里 neighborhood
邻里 neighbourhood
袖子 sleeves
袖子 sleeve
无神论者 atheists
无神论者 atheist
酒保 bartender
铕 europium
最慢 slowest
撬 pry
地心引力 gravity
鲵 salamander
冲洗 douche
冲洗 rinse
冲洗 flush
主力舰 battleships
胸骨 sternum
织物 fabric
织物 fabrics
附表 schedules
附表 schedule
无名氏 anonymous
魔羯座 capricorn
罪孽 sin
罪孽 sins
杂耍 sideshow
杂耍 juggling
壹岐 iki
拐杖 crutches
拐杖 cane
拐杖 crutch
书签 bookmark
书签 bookmarks
转盘 turntable
口红 lipstick
各层 layers
性腺 gonads
摩加迪沙 mogadishu
犀鸟 hornbill
拖拉机 tractors
拖拉机 tractor
脚跟 heels
脚跟 heel
海产 seafood
弯刀 scimitar
鼬鼠 weasel
沼泽地 swamp
沼泽地 marshlands
夹克 jacket
夹克 jackets
近视 myopia
降职 demoted
证言 testimonies
证言 testimonial
证言 testimony
巴豆 croton
押金 deposit
押金 deposits
阿婆 granny
绷带 bandage
绷带 bandages
海鸟 seabird
海鸟 seabirds
人猿 ape
人猿 apes
意志力 willpower
诱骗 entrapment
诱骗 lured
钻探 drilling
装束 garb
装束 attire
隔间 compartment
焦油 tar
肿胀 swelling
肿胀 swollen
昏庸 fatuous
旗子 flag
旗子 flags
电子计算机 computers
沉默 silent
沉默 silence
海塘 seawall
空闲 idle
清道夫 scavenger
打滑 skidding
链球菌 streptococcus
掩体 bunker
掩体 bunkers
䲗 dragonet
肾上腺 adrenal
轻浮 frivolous
无止境 endless
贮存 storage
蓄水池 cistern
蓄水池 cisterns
比目鱼 flounder
比目鱼 halibut
弘树 hiro
讲课 lectures
讲课 lecturing
讲课 lecture
房地 premises
包租 chartering
包租 charter
包租 chartered
包租 charters
盖世太保 gestapo
辩证 dialectical
辩证 dialectic
钉子 nail
钉子 nails
腹膜 peritoneal
手续费 fee
手续费 fees
乳制品 dairy
洋娃娃 doll
洋娃娃 dolls
刘海 bangs
钦佩 admiration
肺泡 alveolar
飞盘 frisbee
互助会 fraternity
慰藉 solace
游民 hobo
睡莲 lilies
红利 bonus
红利 dividend
红利 bonuses
红利 dividends
电导 conductivity
枕木 sleepers
时髦 funky
时髦 sassy
钹 cymbal
离合器 clutch
锝 technetium
吊环 tings
敌手 adversary
指尖 fingertips
边线 sideline
云母 mica
篮子 basket
篮子 baskets
双唇 lips
仇敌 haters
髂 iliac
溶化 melt
锑 antimony
迷你裙 miniskirt
驯鹿 reindeer
驯鹿 caribou
包头 baotou
轻率 thoughtless
亲属关系 kinship
创造性 creativity
创造性 creative
三轮车 tricycles
三轮车 tricycle
亲和 affinity
盐酸 hydrochloride
断线 disconnected
海狸 beavers
锫 berkelium
微量元素 micronutrient
皮包 handbag
皮包 purse
伪科学 pseudoscience
卧室 bedrooms
卧室 bedroom
亲密关系 intimacy
亲密关系 closeness
不健康 unhealthy
谦卑 humble
谦卑 humbled
谦卑 humility
耳塞 earplugs
叛国罪 treason
含羞草 mimosa
皮带 strap
皮带 belt
点缀 adorned
点缀 embellished
黄莺 songbirds
小指 pinky
谦虚 modesty
谦虚 humble
谦虚 modest
信誉 credibility
信誉 reputation
强项 strengths
纤维素 cellulose
集权 centralization
厨具 cookware
吊唁 condolence
煎饼 pancakes
煎饼 pancake
游荡 wandering
游荡 loitering
喂养 feeding
碛 moraine
台阶 step
𫓧 flerovium
嘶 hiss
菠菜 spinach
悄悄地 quietly
煮沸 boiling
煮沸 boil
地契 deed
豆类 beans
毒瘾 addiction
结肠 colon
千里眼 clairvoyant
鞋底 soles
印染 dyeing
囊肿 cyst
雷管 detonator
雷管 detonators
薯条 fries
薯条 chips
臭鼬 skunk
浆果 berries
浆果 berry
糖原 glycogen
手淫 masturbation
睪丸 testicle
睪丸 testicles
解药 antidote
碳氢化合物 hydrocarbons
碳氢化合物 hydrocarbon
囤积 hoarding
申请书 application
申请书 applications
蒙蔽 blinded
杀菌 bactericidal
逝者 deceased
潜水员 diver
潜水员 divers
累赘 burdensome
内分泌 endocrine
隐约 indistinctly
隐约 vaguely
聚苯乙烯 polystyrene
公平性 fairness
宣泄 catharsis
禁闭 confinement
救生员 lifeguard
救生员 lifeguards
框框 frame
荒淫 lustful
荒淫 debauchery
杨柳 willows
颤动 fibrillation
累了 tired
科伦坡 colombo
责怪 blame
手艺 craft
最坏 worst
阉党 clique
歌妓 courtesan
儿科 paediatric
儿科 pediatric
儿科 pediatrics
儿科 peds
儿科 paediatrics
黄牛 scalped
松香 rosin
呱 quack
鸨 bustard
平易近人 approachable
保费 premiums
保费 premium
发夹 hairpin
粗鲁 rude
嘟 beep
切线 tangent
牵引力 traction
圣诗 psalm
纯化 purified
纯化 purify
纯化 purifying
纯化 purification
耗散 dissipation
面纱 veil
面纱 veils
误传 miscommunication
保皇党 royalist
跛 limp
跛 lame
便秘 constipation
抚慰 comfort
抚慰 soothing
自给 subsistence
厌氧 anaerobic
誓词 vow
誓词 oath
誓词 vows
木筏 raft
木筏 rafts
胸膛 chest
茶馆 teahouse
小菜 dish
弯弯 bend
米妮 minnie
败血症 sepsis
枷锁 shackles
枷锁 yoke
白桦 birch
合意 consensual
润滑剂 lubricant
润滑剂 lube
润滑剂 lubricants
润滑油 lubricant
润滑油 lube
夷为平地 razing
收据 receipt
收据 receipts
腓骨 fibula
钋 polonium
域外 extraterritoriality
域外 extraterritorial
谜语 riddle
谜语 riddles
诗意 poetic
碳化物 carbide
产妇 maternal
产妇 maternity
逗号 comma
逗号 commas
解冻 thaw
解冻 unfrozen
簧片 reed
鹂 oriole
沉没 sinking
沉没 sunk
沉没 sunken
流离失所 displaced
流离失所 displacement
流离失所 displacements
挑逗 teasing
挑逗 tease
算盘 abacus
疏漏 omission
奈绪子 naoko
芦荟 aloe
琼脂 agar
判断力 judgement
判断力 judgment
判断力 discernment
夜鹰 nightjar
鼓声 drums
偏执 paranoid
偏执 paranoia
黄麻 jute
猿猴 apes
百灵 lark
硬木 hardwood
药理 pharmacological
药理 pharmacology
塌方 landslide
猫王 elvis
勺子 spoon
胡萝卜 carrot
胡萝卜 carrots
蛤蜊 clam
再审 retrial
打赌 bet
电解质 electrolyte
营房 barracks
痴迷 obsession
痴迷 obsessed
周数 weeks
朱丽叶 juliet
脚印 footprint
脚印 footprints
喜鹊 magpie
草丛 grass
扫描器 scanner
扫描器 scanners
弥漫 diffuse
钻孔 drilling
钻孔 drill
低血糖 hypoglycemia
阴险 insidious
巨集 macros
头皮 scalp
船舱 cabin
ā ā
兜售 peddling
整洁 tidy
整洁 neat
标定 demarcating
标定 demarcated
奖杯 trophy
奖杯 trophies
神职 priesthood
哈密瓜 cantaloupe
树冠 canopy
哎呀 oops
鳚 blenny
论断 assertion
蔑视 contempt
露水 dew
增值税 vat
咕噜 gollum
披肩 shawl
压缩机 compressor
压缩机 compressors
酒鬼 drunkard
聚合酶 polymerase
恶臭 stench
警徽 badge
污点 stains
污点 stain
污点 tainted
手风琴 accordion
钯 palladium
押韵 rhyme
押韵 rhymes
尺码 sizes
凝集 agglutination
报应 retribution
报应 karma
贫瘠 barren
强制执行 enforcement
受孕 conceive
受孕 conception
灵巧 dexterity
书包 backpack
预谋 premeditated
嗓子 throat
嗓子 voice
悔恨 remorse
旱地 dryland
育种 breeding
食欲 appetite
碧瑶 baguio
孔径 aperture
慢跑 jogging
姑息 appeasement
吗啡 morphine
毛衣 sweater
女同志 lesbian
回扣 kickbacks
回扣 rebates
回扣 rebate
皮疹 rash
重读 reread
边框 borders
边框 border
安眠药 hypnotic
必需品 necessities
必需品 essentials
世仇 feud
新陈代谢 metabolism
新陈代谢 metabolic
同谋 accomplices
同谋 accomplice
同谋 complicity
ə ə
扭伤 sprain
扳手 wrench
家具 furniture
痴情 infatuation
触电 electrocution
圣歌 hymn
圣歌 chant
斋戒 fasting
站著 stand
汽油弹 napalm
脱衣舞 strip
恶霸 bullies
恶霸 bully
闲暇 leisure
可敬 honorable
可敬 venerable
鱼种 species
尼科西亚 nicosia
帮会 club
可读性 readability
损害赔偿 damages
丝袜 stockings
丝袜 pantyhose
丝袜 stocking
酥油 ghee
刚毅 fortitude
采矿业 mining
辛劳 toil
串列 serial
鼻涕 snot
秋千 swings
秋千 swing
鹨 pipit
断头台 guillotine
断头台 scaffold
仅供参考 fyi
硫酸盐 sulfate
乳猪 piglets
赖索托 lesotho
两院制 bicameral
托运 consignment
托运 shipment
认领 claimed
认领 claim
蛙人 frogman
辛迪加 syndicates
辛迪加 syndicated
辛迪加 syndicate
十项全能 decathlon
城关 chengguan
历书 ephemeris
鼻炎 rhinitis
课外 extracurricular
拂晓 dawn
反托拉斯 antitrust
扫帚 brooms
扫帚 broom
扫帚 broomstick
累犯 recidivism
洗浴 bathing
偷看 peek
蒙古包 yurt
录音机 recorder
反手 backhand
冲天 towering
灵敏度 sensitivity
查考 chacao
杂项 miscellaneous
寄养 foster
还款 repayment
凌乱 messy
脉搏 pulse
隐士 recluse
隐士 hermit
锇 osmium
喜庆 jubilation
喜庆 festive
蓝芽 bluetooth
哑铃 dumbbell
时辰 hour
华尔兹 waltz
紫罗兰 violet
紫罗兰 violets
危难 distress
抛光 polishing
抛光 polished
水电站 dam
东山再起 comeback
卡其 khaki
脑膜炎 meningitis
随时随地 anytime
锆 zirconium
小气 stingy
韧性 tenacity
韧性 toughness
韧性 resilience
衣柜 wardrobe
衣柜 closet
赤足 barefoot
胃口 appetite
太阳眼镜 sunglasses
伯利恒 bethlehem
分红 dividend
猪仔 piglet
猪仔 piggy
兵卒 pawn
罐装 canned
相争 competing
有机体 organism
有机体 organisms
产科 obstetric
产科 obstetrical
产科 obstetrics
摇头 smh
伤疤 scars
伤疤 scar
间歇性 intermittent
大雾 fog
气化 gasification
独裁政权 dictatorship
⁄ ⁄
鱼儿 fish
� �
气喘 asthma
划界 delimitation
划界 delineation
划界 demarcation
纸浆 pulp
驯服 taming
驯服 tamed
驯服 tame
酸味 sour
恍惚 trance
峰峰 peak
痴呆 dementia
担子 burden
轻蔑 contempt
鼓膜 eardrum
决算 accounts
跨国公司 tnc
成百上千 hundreds
榎 enoki
臭虫 bedbugs
臭虫 bug
臭虫 bugs
铋 bismuth
无价 priceless
校准 calibrated
校准 calibrate
校准 calibration
鲶鱼 catfish
汗水 sweat
关机 shutdown
脏 dirty
脑炎 encephalitis
订户 subscriber
订户 subscribers
罪过 sin
泥巴 mud
破冰船 icebreaker
遇险 distress
更年期 menopause
更年期 menopausal
满文 manchu
手心 palms
冠状动脉 coronary
多云 cloudy
防腐剂 preservatives
防腐剂 preservative
皱纹 wrinkle
皱纹 wrinkles
肚脐 navel
忙著 busy
宗法 patriarchal
火辣 hotness
七月份 july
退火 annealing
蛊惑 compulsion
粉尘 dusts
上访 petition
白日梦 daydreaming
白日梦 daydream
输家 loser
传票 summonses
传票 subpoena
传票 subpoenas
传票 summons
包容性 inclusion
包容性 inclusiveness
包容性 inclusive
蛋黄 yolk
至高无上 supremacy
发病率 incidence
发病率 morbidity
发病率 prevalence
越野赛 bmx
瓶装 bottled
铁链 chains
摇动 rocking
摇动 shake
拜拜 bye
列宁主义 leninism
枯木 deadwood
探照灯 searchlight
晴明 seimei
许诺 promises
许诺 promise
肤浅 superficial
肤浅 shallow
笔迹 handwriting
懊悔 remorse
剥皮 peeling
薄饼 pancakes
吸气 inhale
做梦 dream
做梦 dreaming
十诫 decalogue
十诫 commandments
敬酒 toast
隔膜 diaphragm
放大镜 magnifier
试点 pilot
手镯 bangles
手镯 bracelet
手镯 bracelets
注射器 syringe
注射器 syringes
汽化 vaporization
稳住 steady
神韵 verve
浮华 flashy
度假胜地 resort
度假胜地 resorts
熨斗 irons
镤 protactinium
政界人士 politicians
诵经 chant
诵经 chanting
谋士 schemer
阿武 takeshi
广度 breadth
长袍 robe
扩音器 loudspeakers
糖蜜 molasses
公诉 indictment
吃醋 jealous
矮子 shorty
义气 brotherhood
感伤 sentimental
礼让 comity
支气管 bronchial
担架 stretcher
硝酸盐 nitrate
亿万富翁 billionaire
亿万富翁 billionaires
成就感 fulfillment
打火机 lighter
食蚁兽 anteater
供词 confessions
桂皮 cinnamon
菜花 cauliflower
烤箱 ovens
烤箱 oven
预付 prepayment
预付 prepaid
尘土 dust
吓人 scary
判罪 convictions
判罪 conviction
鼹鼠 mole
鼹鼠 moles
透支 overdraft
渎职 malfeasance
入世 accession
多才多艺 versatility
多才多艺 versatile
强迫性 coercive
强迫性 compulsion
核可 approval
势头 momentum
汽车旅馆 motels
汽车旅馆 motel
鸻 plover
守寡 widowhood
充电器 charger
充电器 chargers
斗牛士 bullfighter
斗牛士 matador
美洲狮 cougar
瘫 paralysis
瘫 paralyzed
云杉 spruce
血红蛋白 haemoglobin
肾炎 nephritis
千卡 kcal
幻灯片 slides
幻灯片 slide
幻灯片 slideshow
随身听 walkman
贫民区 ghetto
贫民区 slums
壁炉 fireplace
船夫 boatman
十进位 decimal
制成品 manufactures
炮制 concocted
压碎 crushing
压碎 crushed
开心果 pistachio
翠鸟 kingfisher
食管 oesophagus
姨妈 auntie
姨妈 aunt
编目 catalogue
编目 cataloguing
不倒翁 roly
不倒翁 tumbler
动荡 turbulence
动荡 turmoil
天鹅绒 velvet
刀柄 hilt
劳顿 lawton
批发商 wholesaler
批发商 wholesalers
笔触 flicks
粮仓 granary
袖章 armband
曲轴 crankshaft
被绑 tied
猎枪 shotgun
脸红 blushing
脸红 blush
戏服 costumes
戏服 costume
箭号 arrow
偏转 deflection
共性 commonalities
共性 commonality
脱轨 derail
脱轨 derailed
脱轨 derailment
切碎 shredded
旅费 travel
护肤 skincare
长生不老 immortality
烧焦 charred
电镀 plating
电镀 electroplating
越野车 suv
鞋匠 shoemaker
冒号 colon
定居点 settlement
定居点 settlements
垃圾箱 dumpster
燕尾服 tuxedo
肟 oxime
⊂ ⊂
女权主义 feminism
女权主义 feminist
无味 tasteless
萨那 sana
消瘦 wasting
休会 adjournment
微波炉 microwave
胆汁 bile
罪恶感 guilt
饭盒 lunchbox
巴马科 bamako
手工艺品 artefacts
手工艺品 handicrafts
手工艺品 handicraft
手工艺品 crafts
酸酸 sour
驼峰 humping
唇齿 labiodental
特异性 specificity
针织 knitted
针织 knitting
扫雷 demining
核反应堆 reactor
刺痛 tingling
鞋类 footwear
木琴 xylophone
最糟 worst
连贯性 coherence
连贯性 consistency
先决条件 prerequisites
先决条件 precondition
先决条件 preconditions
先决条件 prerequisite
点字 braille
顽抗 recalcitrant
济南市 jinan
排他性 exclusive
排他性 exclusivity
排他性 exclusionary
风头 limelight
多汁 juicy
药典 pharmacopoeia
笃志 atsushi
仿生 bionic
施肥 fertilizer
施肥 fertilization
手提包 handbag
手提包 purse
手提包 handbags
劳军 uso
神权 theocratic
枕骨 occipital
绝育 sterilization
绝育 sterilisation
缩影 epitome
缩影 microcosm
公设 postulate
秒数 seconds
公证 notarial
公证 notarized
桌布 tablecloth
武库 arsenal
武库 arsenals
拒收 rejections
š š
乳液 lotion
毛虫 caterpillar
风笛 bagpipes
雨衣 raincoat
止痛药 painkiller
稿子 manuscript
挥霍 squandering
拨号 dial
品尝 tasting
清偿 liquidated
陈设 furnishings
谬论 fallacies
谬论 fallacy
溢价 premium
风雅 fuga
血迹 blood
多氯联苯 pcb
多氯联苯 pcbs
鸿沟 divide
鸿沟 divides
寒战 chills
离弃 forsaken
闪击 blitz
飞行船 airship
笼子 cage
笼子 cages
拭 swab
收归国有 nationalized
收归国有 nationalization
胡萝卜素 carotene
被子 comforter
被子 blanket
被子 quilt
庸俗 vulgar
钢丝 wire
不经意 inadvertently
电锯 chainsaw
铁饼 discus
晚饭 dinner
懦夫 coward
直肠 rectum
直肠 rectal
遘 gou
壁垒 barriers
沙沙 sasha
掌柜 shopkeeper
垂涎 coveted
本体论 ontology
规劝 exhorts
规劝 exhort
规劝 exhortation
颤抖 shiver
颤抖 trembling
门禁 gated
杂音 murmur
气馁 discouraged
递送 delivery
焦急 anxious
示警 warnings
屈指可数 handful
皮层 cortex
蚱蜢 grasshopper
蚱蜢 grasshoppers
创业者 entrepreneur
创业者 entrepreneurs
阴天 overcast
阴天 cloudy
皮炎 dermatitis
来世 afterlife
唇膏 lipstick
毛细管 capillaries
护肤品 skincare
伪证 perjury
马虎 sloppy
晚霞 afterglow
长处 strengths
长处 advantages
鸡奸 sodomy
鸡奸 buggery
鸭嘴兽 platypus
毛额 gross
颓废 decadent
颓废 decadence
把戏 trick
帐单 bills
帐单 billing
莴苣 lettuce
镝 dysprosium
虫子 bugs
髋 hip
数数 count
汇编 compilation
汇编 compilations
字迹 handwriting
项圈 collar
镱 ytterbium
冶炼 smelting
烧酒 soju
不均衡 uneven
不均衡 unbalanced
伯母 auntie
脾脏 spleen
沾染 contamination
凝视 stare
凝视 gaze
凝视 gazing
预兆 omen
预兆 omens
车头灯 headlights
闲话 gossip
钢笔 pen
钢笔 pens
双关语 pun
利害关系 stakes
出汗 sweating
出汗 sweat
出汗 sweaty
阪本 sakamoto
杏树 apricot
炼油 refining
玩世不恭 cynical
索赔 claim
口译 interpreter
口译 interpretation
口译 interpreters
酒窝 dimple
酒窝 dimples
桑给巴尔 zanzibar
怠慢 snub
人工授精 insemination
颧骨 cheekbones
营养素 nutrient
营养素 nutrients
加宽 widened
加宽 widen
日光浴 tanning
日光浴 sunbathing
耳语 whisper
耳语 whispers
祸害 scourge
山鸡 chicken
失水 dehydration
闹鬼 haunted
涟漪 ripple
间歇 interval
间歇 intermittent
露头 outcrop
吉普赛 gypsy
吉普赛 gypsies
子宫颈 cervix
㹴 terrier
承保 underwriting
铟 indium
百日咳 pertussis
寡头 oligarchy
专横 bossy
扶正 righting
奴才 minion
奴才 minions
油印 mimeograph
载荷 payload
脱臼 dislocated
天文馆 planetarium
血红素 heme
驴子 donkey
凳子 stool
凳子 stools
疱疹 herpes
登记处 registry
推土机 bulldozers
推土机 bulldozer
嫁接 grafting
点头 nod
支气管炎 bronchitis
肥胖症 obesity
轮换 rotation
措词 phrasing
措词 wording
消化不良 indigestion
水蛭 leeches
水蛭 leech
收件人 addressee
收件人 recipient
收件人 recipients
突发事件 contingencies
蓖麻 castor
无法无天 lawlessness
无法无天 lawless
眼皮 eyelids
眼皮 eyelid
模棱两可 ambiguous
煎蛋 omelette
超声波 ultrasound
超声波 ultrasonic
海带 kelp
海带 seaweed
金刚经 sutra
笑脸 smiley
斗嘴 bicker
橡皮擦 eraser
无缝 seamless
透彻 thorough
诽谤罪 defamation
诽谤罪 libel
打卡 checkin
板牙 mater
借款人 borrowers
借款人 borrower
谷类 cereals
谷类 cereal
权衡 weighing
卧铺 sleeper
辰雄 tatsuo
吸管 straw
袖口 cuffs
明细 breakdown
渗漏 seeps
渗漏 seep
渗漏 leakage
文盲率 illiteracy
祝愿 wish
祝愿 wishes
腮腺炎 mumps
起泡 blistering
沙文主义 chauvinism
卷舌 retroflex
走失 stray
窥视 peep
四月份 april
三胞胎 triplets
转帐 transfer
出纳 cashier
端庄 modesty
保险费 premiums
保险费 premium
保险费 insurance
可读 readable
贞操 chastity
五香 spiced
大动脉 aorta
外侨 aliens
重犯 felons
重犯 recidivism
谐波 harmonic
栈桥 trestle
燕麦 oat
燕麦 avena
燕麦 granola
燕麦 oatmeal
燕麦 oats
心悸 palpitations
鳄 crocodile
眨 blink
芘 pyrene
鿔 copernicium
农艺 agronomic
缩水 shrunk
缩水 shrinking
松动 loose
理发 haircut
理发 barber
理发 haircuts
痂 scab
复苏 recovery
复苏 revival
金工 metalwork
图纸 drawings
青光眼 glaucoma
瓷砖 tile
瓷砖 tiles
聚氨酯 polyurethane
钕 neodymium
鳟鱼 trout
光电效应 photovoltaic
僵尸 zombie
僵尸 zombies
老练 sophistication
老练 seasoned
老练 sophisticated
锁骨 collarbone
水龙头 faucet
水龙头 taps
运费 freight
运费 shipping
冰柱 icicles
矮胖 chunky
草场 grassland
超级大国 superpower
投胎 reincarnation
纠察 picket
买东西 shopping
弹弓 slingshot
咄咄逼人 aggressive
棒棒糖 lollipop
噱头 gimmicks
养老金 pension
养老金 pensions
腹水 ascites
淫秽 obscenity
淫秽 obscene
保险套 condom
手雷 grenade
衣橱 wardrobe
衣橱 closet
心电图 ekg
药方 prescription
水痘 chickenpox
夹子 clamp
电传 telex
蓬松 fluffy
长臂猿 gibbon
卖方 sellers
卖方 seller
洞房 consummation
铐 cuff
青绿 turquoise
酸菜 sauerkraut
卫生棉 tampons
卫生棉 tampon
ž ž
馄饨 wonton
手推车 cart
手推车 wheelbarrow
唱诗班 choir
阉割 castrated
阉割 castration
阉割 castrate
残废 crippled
茶坊 teahouse
指南针 compass
八月份 august
蛋壳 eggshells
内罗毕 nairobi
鹎 bulbul
卤化 halogenated
调皮 naughty
巨蟒 python
发射机 transmitter
打坐 meditate
惨淡 bleak
笞刑 flogging
母鸡 hen
母鸡 hens
孔雀石 malachite
删节 redactions
局外人 outsiders
局外人 outsider
游标 cursor
母性 motherhood
送礼 gifts
酿酒厂 breweries
影象 image
药店 pharmacies
药店 drugstore
药店 pharmacy
十二指肠 duodenum
扒手 pickpocket
扒手 pickpockets
麻黄 ephedra
填料 filler
填料 filling
填料 fillings
谦逊 humble
谦逊 humility
叩头 kowtow
开裂 cracking
训斥 reprimanded
训斥 censure
水禽 waterfowl
田间 fields
呜呼 woohoo
心弦 heartstrings
补丁 patches
补丁 patch
邮筒 mailbox
伫列 queue
辅导员 counselor
雨滴 raindrops
铭刻 etched
间歇泉 geyser
甘蓝 kale
茫然 dazed
馅饼 pie
黄鼠狼 weasel
抽筋 cramps
抽筋 cramp
失业者 unemployed
斜视 strabismus
嚎叫 howling
声名狼藉 notorious
声名狼藉 infamous
食糖 sugar
走火入魔 obsess
泡沫塑料 styrofoam
订票 booking
洼地 depressions
狂欢节 carnival
自闭 autistic
泡芙 puff
胸膜 pleural
舢舨 sampan
药丸 pill
药丸 pills
干草 hay
灌木丛 bushes
鵺 nue
毛泽东思想 maoism
冷遇 disfavored
块茎 tuber
苔原 tundra
狼疮 lupus
犊 calf
卷发 curls
浮游植物 phytoplankton
砖头 bricks
砖头 brick
追索 recourse
柴火 firewood
插秧 transplanting
羽扇 lupine
针孔 pinhole
口渴 thirst
口渴 thirsty
花椰菜 broccoli
花椰菜 cauliflower
狂躁 manic
沙哑 hoarse
滑雪板 snowboarding
滑雪板 snowboard
滑雪板 skis
头晕 dizzy
倾覆 capsized
围裙 apron
画布 canvas
挣 earn
恫吓 intimidation
芫荽 coriander
芦笋 asparagus
不耐烦 impatient
不耐烦 impatience
眩晕 dizziness
眩晕 vertigo
眩晕 stun
฿ ฿
恩泽 bliss
凸轮 cams
凸轮 cam
骡 mule
∃ ∃
短打 bunt
闪电战 blitz
闪电战 blitzkrieg
沉积 sedimentation
沉积 deposition
沉积 sediment
长椅 bench
清洁剂 detergent
画笔 brushes
两极化 polarization
十月份 october
车床 lathe
凸面 convex
飞毛腿 scud
飞毛腿 speedy
海盆 basin
人渣 scumbag
噎 choke
织机 loom
倦怠 burnout
叶酸 folate
叉子 fork
古柯 coca
堆肥 composting
堆肥 compost
多愁善感 sentimental
斑驳 bamber
野鸭 mallard
熟语 idiom
听著 listen
洗衣服 laundry
鬼火 wildfire
红树 mangrove
红树 mangroves
社署 swd
软糖 fudge
凶案 homicide
服务台 helpdesk
服务台 desk
渗出 seepage
预制 prefabricated
预制 precast
叫嚣 clamour
面团 dough
口哨 whistle
口哨 whistles
咒骂 cursing
伤员 casualty
水饺 dumplings
水饺 dumpling
吝啬 stingy
煮饭 cooking
护目镜 goggles
绝热 adiabatic
震慑 deterrence
单方 unilateral
单方 unilaterally
拼贴 collage
琐事 trivia
神经质 neurotic
虚无主义 nihilism
白内障 cataracts
白内障 cataract
弄臣 jester
早产 premature
吽 mangalam
假牙 dentures
生锈 rusty
生锈 rust
妇科 gynaecological
妇科 gynaecology
妇科 gynecologist
狐狸精 vixen
窗台 ledge
议价 bargaining
议价 bargain
头疼 headaches
头疼 headache
风湿 rheumatism
小脑 cerebellum
吉普赛人 gypsy
吉普赛人 gypsies
硼砂 borax
卡特尔 cartels
卡特尔 cartel
不偏不倚 impartial
不偏不倚 impartiality
希伯来人 hebrews
污垢 dirt
脱衣 strip
鸡腿 drumstick
破伤风 tetanus
淋病 gonorrhea
收款 receipts
ñ ñ
规约 statute
制造厂商 manufacturer
温顺 docile
温顺 meek
过渡性 transitional
贪心 greedy
冷冷 cold
折旧 depreciated
折旧 depreciation
减损 derogation
逆差 deficit
与世隔绝 isolation
与世隔绝 isolated
与世隔绝 secluded
ð eth
失重 weightless
失重 weightlessness
二分法 dichotomy
轮班 shifts
轮班 shift
玩物 plaything
质朴 rustic
氯霉素 chloramphenicol
支点 pivot
支点 fulcrum
狂喜 rapture
狂喜 ecstasy
冻伤 frostbite
铈 cerium
虚荣 vain
虚荣 vanity
美容师 beautician
分期付款 installments
分期付款 installment
蚕室 jamsil
锤子 hammer
流程图 flowchart
灯具 lamps
托盘 tray
托盘 trays
凯歌 kaige
午饭 lunch
骑手 riders
骑手 rider
从属关系 affiliation
松饼 muffin
不作为 inactivity
不作为 omission
不作为 inaction
娇妻 stepford
依赖性 dependency
依赖性 dependence
驳船 barges
驳船 barge
麻袋 sacks
麻袋 sack
娃娃脸 babyface
厌食症 anorexic
厌食症 anorexia
体面 decent
个性化 personalized
个性化 personalize
昄 masjed
绪形 ogata
榆树 elm
宾果 bingo
哑巴 mute
滤过 filtered
扫把 broom
浮标 buoys
浮标 buoy
香皂 soap
六月份 june
幻灭 disillusionment
进口商 importer
进口商 importers
病理学家 pathologist
病理学家 pathologists
各局 bureaux
鹌鹑 quail
鹌鹑 quails
脐带 cord
镄 fermium
ò ò
诱捕 entrapment
诱捕 trapping
波导 waveguide
丧钟 deathstroke
白炽灯 incandescent
缝纫 sewing
缝纫 stitching
试演 auditions
试演 audition
梱 riko
滚筒 roller
打雷 thunder
飞蛾 moth
飞蛾 moths
刨冰 smoothie
脑子 brains
脑子 brain
怪癖 quirks
铁砧 anvil
篱笆 fence
军械库 armory
军械库 armoury
木柴 firewood
领结 tie
助产 midwifery
征象 indicia
加班费 overtime
专论 monographs
专论 monograph
五月份 may
装订 bind
装订 binding
装订 staple
烝 susumu
怯懦 cowardice
散光 astigmatism
浮萍 duckweed
客观性 objectivity
调音 tuning
深奥 esoteric
吊灯 chandelier
订位 booking
花环 wreaths
花环 wreath
恶习 vices
蚜虫 aphids
改期 rescheduled
随员 attaché
随员 attachés
蔓生 sprawl
胆囊 gallbladder
朓 tiao
梨果 pear
低血压 hypotension
抹茶 matcha
黄疸 jaundice
楼梯间 stairwell
貂皮 mink
痛惜 deploring
泥浆 mud
吊带 suspenders
隆隆 rumble
隆隆 rumbling
通风口 vent
通风口 vents
⊗ ⊗
功利主义 utilitarian
前哨站 outpost
笔尖 nib
冷却器 chiller
扎实 solid
园丁 gardener
类人猿 apes
刀疤 scar
斗鸡 cockfight
飞涨 skyrocketing
心疼 pained
č č
脚步声 footsteps
无忧无虑 carefree
累进 progressive
毯子 blanket
抽屉 drawer
悬念 suspense
手无寸铁 unarmed
撤资 divestment
ō omega
暖气 heating
